# Era-1986dw blocks-to-Ortsteile crosswalk.
# Built by scripts/build_era_crosswalks.py using DECISION D2
# (direct block_id match + Bezirk-anchored fallback).
# direct_matches=6190, fallbacks=70, unresolved=0, total_in_era=6260
block_id,aggregate_id,aggregate_name
block_006091,z96_082,z96_082
block_006092,z96_082,z96_082
block_006093,z96_082,z96_082
block_006634,z96_082,z96_082
block_006635,z96_082,z96_082
block_007100,z96_082,z96_082
block_007101,z96_082,z96_082
block_007102,z96_082,z96_082
block_007103,z96_082,z96_082
block_007104,z96_082,z96_082
block_007105,z96_082,z96_082
block_007106,z96_082,z96_082
block_007107,z96_082,z96_082
block_007108,z96_082,z96_082
block_007109,z96_082,z96_082
block_007110,z96_082,z96_082
block_007111,z96_082,z96_082
block_007112,z96_082,z96_082
block_007113,z96_082,z96_082
block_007114,z96_082,z96_082
block_007115,z96_082,z96_082
block_007116,z96_082,z96_082
block_007117,z96_082,z96_082
block_007233,z96_082,z96_082
block_007234,z96_082,z96_082
block_007235,z96_082,z96_082
block_007236,z96_082,z96_082
block_007237,z96_082,z96_082
block_007238,z96_082,z96_082
block_007241,z96_082,z96_082
block_007242,z96_082,z96_082
block_007243,z96_082,z96_082
block_007244,z96_082,z96_082
block_007247,z96_082,z96_082
block_007248,z96_082,z96_082
block_007250,z96_082,z96_082
block_007251,z96_082,z96_082
block_007252,z96_082,z96_082
block_007254,z96_082,z96_082
block_007255,z96_082,z96_082
block_007256,z96_082,z96_082
block_007257,z96_082,z96_082
block_007258,z96_082,z96_082
block_007259,z96_082,z96_082
block_007264,z96_082,z96_082
block_007265,z96_082,z96_082
block_007266,z96_082,z96_082
block_007267,z96_082,z96_082
block_007269,z96_082,z96_082
block_007270,z96_082,z96_082
block_007640,z96_082,z96_082
block_007641,z96_082,z96_082
block_007642,z96_082,z96_082
block_007645,z96_082,z96_082
block_007906,z96_082,z96_082
block_007907,z96_082,z96_082
block_008129,z96_082,z96_082
block_008130,z96_082,z96_082
block_008151,z96_082,z96_082
block_008184,z96_082,z96_082
block_008203,z96_081,z96_081
block_008205,z96_082,z96_082
block_008211,z96_081,z96_081
block_008212,z96_082,z96_082
block_008213,z96_082,z96_082
block_008214,z96_082,z96_082
block_008215,z96_082,z96_082
block_008216,z96_082,z96_082
block_008217,z96_082,z96_082
block_008219,z96_082,z96_082
block_008220,z96_082,z96_082
block_008222,z96_082,z96_082
block_008223,z96_082,z96_082
block_008224,z96_082,z96_082
block_008225,z96_082,z96_082
block_008226,z96_082,z96_082
block_008227,z96_082,z96_082
block_008228,z96_082,z96_082
block_008229,z96_082,z96_082
block_008231,z96_082,z96_082
block_008232,z96_082,z96_082
block_008239,z96_082,z96_082
block_008240,z96_082,z96_082
block_008246,z96_082,z96_082
block_008249,z96_082,z96_082
block_009094,z96_081,z96_081
block_009095,z96_082,z96_082
block_009096,z96_082,z96_082
block_009097,z96_082,z96_082
block_009098,z96_082,z96_082
block_009099,z96_082,z96_082
block_009120,z96_081,z96_081
block_009122,z96_081,z96_081
block_009123,z96_082,z96_082
block_009124,z96_082,z96_082
block_009125,z96_082,z96_082
block_009127,z96_082,z96_082
block_009128,z96_082,z96_082
block_009132,z96_081,z96_081
block_009133,z96_081,z96_081
block_009134,z96_081,z96_081
block_009135,z96_081,z96_081
block_009136,z96_081,z96_081
block_009137,z96_081,z96_081
block_009138,z96_081,z96_081
block_009139,z96_081,z96_081
block_009140,z96_081,z96_081
block_009144,z96_081,z96_081
block_009146,z96_082,z96_082
block_009147,z96_082,z96_082
block_009148,z96_082,z96_082
block_009152,z96_081,z96_081
block_009153,z96_081,z96_081
block_009154,z96_081,z96_081
block_009155,z96_081,z96_081
block_009156,z96_081,z96_081
block_009157,z96_081,z96_081
block_009158,z96_081,z96_081
block_009159,z96_081,z96_081
block_009160,z96_081,z96_081
block_009163,z96_081,z96_081
block_009169,z96_081,z96_081
block_009170,z96_081,z96_081
block_009171,z96_081,z96_081
block_009172,z96_081,z96_081
block_009173,z96_081,z96_081
block_009174,z96_081,z96_081
block_009175,z96_081,z96_081
block_009176,z96_082,z96_082
block_009177,z96_082,z96_082
block_009179,z96_081,z96_081
block_009180,z96_082,z96_082
block_009181,z96_082,z96_082
block_009182,z96_082,z96_082
block_009188,z96_081,z96_081
block_009189,z96_081,z96_081
block_009190,z96_081,z96_081
block_009191,z96_081,z96_081
block_009192,z96_081,z96_081
block_009195,z96_081,z96_081
block_009197,z96_081,z96_081
block_009198,z96_081,z96_081
block_009199,z96_081,z96_081
block_009201,z96_081,z96_081
block_009202,z96_081,z96_081
block_009207,z96_081,z96_081
block_009208,z96_081,z96_081
block_009209,z96_081,z96_081
block_009601,z96_082,z96_082
block_009619,z96_081,z96_081
block_009620,z96_082,z96_082
block_009621,z96_082,z96_082
block_009622,z96_081,z96_081
block_009623,z96_081,z96_081
block_009627,z96_081,z96_081
block_009628,z96_081,z96_081
block_009636,z96_081,z96_081
block_009639,z96_081,z96_081
block_009643,z96_082,z96_082
block_010186,z96_081,z96_081
block_011004,z96_081,z96_081
block_011005,z96_081,z96_081
block_011006,z96_081,z96_081
block_011010,z96_081,z96_081
block_011011,z96_081,z96_081
block_011012,z96_081,z96_081
block_011013,z96_081,z96_081
block_011014,z96_081,z96_081
block_011015,z96_081,z96_081
block_011016,z96_081,z96_081
block_011017,z96_081,z96_081
block_011018,z96_081,z96_081
block_011019,z96_081,z96_081
block_011020,z96_081,z96_081
block_011021,z96_081,z96_081
block_011022,z96_081,z96_081
block_011023,z96_081,z96_081
block_011024,z96_081,z96_081
block_011025,z96_081,z96_081
block_011026,z96_081,z96_081
block_011028,z96_081,z96_081
block_011030,z96_081,z96_081
block_011031,z96_081,z96_081
block_011041,z96_081,z96_081
block_011042,z96_081,z96_081
block_011044,z96_081,z96_081
block_011046,z96_081,z96_081
block_011047,z96_081,z96_081
block_011048,z96_081,z96_081
block_011049,z96_081,z96_081
block_011050,z96_081,z96_081
block_011052,z96_081,z96_081
block_011053,z96_081,z96_081
block_011054,z96_081,z96_081
block_011055,z96_081,z96_081
