block_id,aggregate_id,aggregate_name
block_005650,bzk_18,bzk_18
block_005651,bzk_18,bzk_18
block_005652,bzk_18,bzk_18
block_006068,bzk_20,bzk_20
block_006069,bzk_20,bzk_20
block_006070,bzk_20,bzk_20
block_006071,bzk_20,bzk_20
block_006072,bzk_20,bzk_20
block_006073,bzk_20,bzk_20
block_006074,bzk_20,bzk_20
block_006075,bzk_20,bzk_20
block_006076,bzk_20,bzk_20
block_006077,bzk_20,bzk_20
block_006078,bzk_20,bzk_20
block_006079,bzk_20,bzk_20
block_006080,bzk_20,bzk_20
block_006081,bzk_20,bzk_20
block_006082,bzk_20,bzk_20
block_006083,bzk_20,bzk_20
block_006084,bzk_20,bzk_20
block_006085,bzk_20,bzk_20
block_006086,bzk_20,bzk_20
block_006087,bzk_20,bzk_20
block_006088,bzk_20,bzk_20
block_006089,bzk_20,bzk_20
block_006090,bzk_20,bzk_20
block_006091,bzk_20,bzk_20
block_006092,bzk_20,bzk_20
block_006093,bzk_20,bzk_20
block_006634,bzk_20,bzk_20
block_006635,bzk_20,bzk_20
block_007100,bzk_20,bzk_20
block_007101,bzk_20,bzk_20
block_007102,bzk_20,bzk_20
block_007103,bzk_20,bzk_20
block_007104,bzk_20,bzk_20
block_007105,bzk_20,bzk_20
block_007106,bzk_20,bzk_20
block_007107,bzk_20,bzk_20
block_007108,bzk_20,bzk_20
block_007109,bzk_20,bzk_20
block_007110,bzk_20,bzk_20
block_007111,bzk_20,bzk_20
block_007112,bzk_20,bzk_20
block_007113,bzk_20,bzk_20
block_007114,bzk_20,bzk_20
block_007115,bzk_20,bzk_20
block_007116,bzk_20,bzk_20
block_007117,bzk_20,bzk_20
block_007233,bzk_20,bzk_20
block_007234,bzk_20,bzk_20
block_007235,bzk_20,bzk_20
block_007236,bzk_20,bzk_20
block_007237,bzk_20,bzk_20
block_007238,bzk_20,bzk_20
block_007241,bzk_20,bzk_20
block_007242,bzk_20,bzk_20
block_007243,bzk_20,bzk_20
block_007244,bzk_20,bzk_20
block_007247,bzk_20,bzk_20
block_007248,bzk_20,bzk_20
block_007250,bzk_20,bzk_20
block_007251,bzk_20,bzk_20
block_007252,bzk_20,bzk_20
block_007254,bzk_20,bzk_20
block_007255,bzk_20,bzk_20
block_007256,bzk_20,bzk_20
block_007257,bzk_20,bzk_20
block_007258,bzk_20,bzk_20
block_007259,bzk_20,bzk_20
block_007264,bzk_20,bzk_20
block_007265,bzk_20,bzk_20
block_007266,bzk_20,bzk_20
block_007267,bzk_20,bzk_20
block_007269,bzk_20,bzk_20
block_007270,bzk_20,bzk_20
block_007640,bzk_20,bzk_20
block_007641,bzk_20,bzk_20
block_007642,bzk_20,bzk_20
block_007645,bzk_20,bzk_20
block_007906,bzk_20,bzk_20
block_008129,bzk_20,bzk_20
block_008130,bzk_20,bzk_20
block_008151,bzk_20,bzk_20
block_008184,bzk_20,bzk_20
block_008203,bzk_20,bzk_20
block_008205,bzk_20,bzk_20
block_008211,bzk_20,bzk_20
block_008212,bzk_20,bzk_20
block_008213,bzk_20,bzk_20
block_008214,bzk_20,bzk_20
block_008215,bzk_20,bzk_20
block_008216,bzk_20,bzk_20
block_008217,bzk_20,bzk_20
block_008219,bzk_20,bzk_20
block_008220,bzk_20,bzk_20
block_008222,bzk_20,bzk_20
block_008223,bzk_20,bzk_20
block_008224,bzk_20,bzk_20
block_008225,bzk_20,bzk_20
block_008226,bzk_20,bzk_20
block_008227,bzk_20,bzk_20
block_008228,bzk_20,bzk_20
block_008229,bzk_20,bzk_20
block_008231,bzk_20,bzk_20
block_008232,bzk_20,bzk_20
block_008239,bzk_20,bzk_20
block_008240,bzk_20,bzk_20
block_008249,bzk_20,bzk_20
block_009094,bzk_20,bzk_20
block_009095,bzk_20,bzk_20
block_009096,bzk_20,bzk_20
block_009097,bzk_20,bzk_20
block_009098,bzk_20,bzk_20
block_009099,bzk_20,bzk_20
block_009120,bzk_20,bzk_20
block_009122,bzk_20,bzk_20
block_009123,bzk_20,bzk_20
block_009124,bzk_20,bzk_20
block_009125,bzk_20,bzk_20
block_009127,bzk_20,bzk_20
block_009128,bzk_20,bzk_20
block_009132,bzk_20,bzk_20
block_009133,bzk_20,bzk_20
block_009134,bzk_20,bzk_20
block_009135,bzk_20,bzk_20
block_009136,bzk_20,bzk_20
block_009137,bzk_20,bzk_20
block_009138,bzk_20,bzk_20
block_009139,bzk_20,bzk_20
block_009140,bzk_20,bzk_20
block_009144,bzk_20,bzk_20
block_009146,bzk_20,bzk_20
block_009147,bzk_20,bzk_20
block_009148,bzk_20,bzk_20
block_009152,bzk_20,bzk_20
block_009153,bzk_20,bzk_20
block_009154,bzk_20,bzk_20
block_009155,bzk_20,bzk_20
block_009156,bzk_20,bzk_20
block_009157,bzk_20,bzk_20
block_009158,bzk_20,bzk_20
block_009159,bzk_20,bzk_20
block_009160,bzk_20,bzk_20
block_009163,bzk_20,bzk_20
block_009169,bzk_20,bzk_20
block_009170,bzk_20,bzk_20
block_009171,bzk_20,bzk_20
block_009172,bzk_20,bzk_20
block_009173,bzk_20,bzk_20
block_009174,bzk_20,bzk_20
block_009175,bzk_20,bzk_20
block_009176,bzk_20,bzk_20
block_009177,bzk_20,bzk_20
block_009179,bzk_20,bzk_20
block_009181,bzk_20,bzk_20
block_009182,bzk_20,bzk_20
block_009188,bzk_20,bzk_20
block_009189,bzk_20,bzk_20
block_009190,bzk_20,bzk_20
block_009191,bzk_20,bzk_20
block_009192,bzk_20,bzk_20
block_009195,bzk_20,bzk_20
block_009197,bzk_20,bzk_20
block_009198,bzk_20,bzk_20
block_009199,bzk_20,bzk_20
block_009201,bzk_20,bzk_20
block_009202,bzk_20,bzk_20
block_009207,bzk_20,bzk_20
block_009208,bzk_20,bzk_20
block_009209,bzk_20,bzk_20
block_009601,bzk_20,bzk_20
block_009619,bzk_20,bzk_20
block_009620,bzk_20,bzk_20
block_009621,bzk_20,bzk_20
block_009622,bzk_20,bzk_20
block_009623,bzk_20,bzk_20
block_009627,bzk_20,bzk_20
block_009628,bzk_20,bzk_20
block_009636,bzk_20,bzk_20
block_009639,bzk_20,bzk_20
block_010186,bzk_20,bzk_20
block_011004,bzk_20,bzk_20
block_011005,bzk_20,bzk_20
block_011006,bzk_20,bzk_20
block_011010,bzk_20,bzk_20
block_011011,bzk_20,bzk_20
block_011012,bzk_20,bzk_20
block_011013,bzk_20,bzk_20
block_011014,bzk_20,bzk_20
block_011015,bzk_20,bzk_20
block_011016,bzk_20,bzk_20
