variant,mu_dlogQ,sigma_dlogQ,mu_dlogw,sigma_dlogw,p95_abs_dlogQ,delta_Y_pct,delta_W_bar,delta_Q_bar,U_baseline,delta_U
Baseline-softmax,0.000429,0.007049,-0.000107,0.001762,0.008262,0.000690,0.000329,0.000760,-2.589443,-0.003165
Baseline-ABM argmax,0.000403,0.007068,-0.000101,0.001767,0.007977,-0.000015,0.000334,0.000746,-2.589502,-0.003140
Normal-ABM argmax,0.000369,0.004170,-0.000074,0.001017,0.004783,0.013208,0.000478,0.000104,-2.549840,-0.002745
Hybrid-ABM,0.000364,0.006830,-0.000091,0.001709,0.007697,0.000154,0.000318,0.000701,-2.590513,-0.003081
LLM-ABM,0.001611,0.008310,-0.000274,0.002134,0.017219,0.029950,0.000402,0.011090,-2.744850,-0.005646
